-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$qlie_ModVersion{}	Mod-Version:{}
$qlie_DLLVersion{}	DLL-Version:{}
$qlie_Author	QuickLoot IE von Miss Corruption

$qlie_MainMCMPage	Haupt-Einstellungen
$qlie_WindMCMPage	Fenster-Einstellungen
$qlie_SortMCMPage	Menüsortier-Einstellungen
$qlie_CompMCMPage	Mod-Kompatibilität

$qlie_Enabled	Aktiviert
$qlie_Disabled	Deaktiviert
$qlie_NotInstalled	<font color='#6A0404'>Nicht installiert</font>

$qlie_GeneralSettingsHeader	Allgemeine Einstellungen
$qlie_IconSettingsHeader	Symbol-Einstellungen
$qlie_ModInformationHeader	Mod-Informationen
$qlie_WindowSettingsHeader	Fenstereinstellungen
$qlie_MenuTransparencyHeader	Menü-Transparenz
$qlie_SortOptionsHeader	Sortieroptionen für das Loot-Menü
$qlie_sortPresetsHeader	Sortierungspräsets
$qlie_SortPriorityHeader	Aktuelle Sortierpriorität

$qlie_LOTDCompatHeader	LOTD-Symbole
$qlie_CompCompatHeader	Completionist-Symbole
$qlie_MiscCompatHeader	Verschiedene Kompatibilitäten

$qlie_ProfileHeader	Profil-Einstellungen
$qlie_ProfileText1	JSON - Benutzerprofil
$qlie_ProfileText2	Standardeinstellungen laden
$qlie_ProfileText3	Zurücksetzen

$qlie_SavePreset	Profil speichern
$qlie_LoadPreset	Profil laden
$qlie_PapUtilError	PapyrusUtil nicht gefunden
$qlie_SaveSortPreset	Benutzerdefinierte Voreinstellung speichern

$qlie_SaveProfileTitleText	=== Profil speichern ===
$qlie_LoadProfileTitleText	=== Profil laden ===
$qlie_ResetProfileTitleText	=== Standardeinstellungen laden ===

$qlie_SaveProfileTitleInfo	Die aktuellen Einstellungen werden in Data > SKSE > Plugins > QuicklootIE > Profiles > MCMConfig.json gespeichert (erfordert PapyrusUtil)
$qlie_LoadProfileTitleInfo	Gespeicherte Einstellungen aus Data > SKSE > Plugins > QuicklootIE > Profiles > MCMConfig.json laden (erfordert PapyrusUtil)
$qlie_ResetProfileTitleInfo	Setzt das MCM zurück und lädt die Standardeinstellungen

$qlie_ProfileAutoLoadSuccess	QuickLoot IE: Profil erfolgreich aus Datei geladen
$qlie_ProfileAutoLoadCorrupt	QuickLoot IE: Profil beschädigt, Standardeinstellungen werden geladen
